name,lat,lng,formatted_address,rating,extracted_activities,activity_scores
Anubuddhu Mihindu Mahaseya,8.37898334572324,80.49934355796209,"Mihintale, Anuradhapura District, Sri Lanka",3.9,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Aradhana Gala,8.340955062876857,80.51872705318016,"Mihintale, Anuradhapura District, Sri Lanka",3.8,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Ath Vehera,8.369244915572095,80.48318441171476,"Mihintale, Anuradhapura District, Sri Lanka",4.6,"['hiking', 'outdoor adventures', 'landscape photography', 'cycling', 'photography', 'stargazing', 'rock climbing']","[4.5, 4.8, 5.0, 4.0, 4.5, 3.8, 4.0]"
Dana Sala,8.320806589397314,80.49834205372667,"Mihintale, Anuradhapura District, Sri Lanka",5.0,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Doramadalawa Temple,8.321706436366023,80.5009945072323,"Mihintale, Anuradhapura District, Sri Lanka",4.6,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Gal Palama,8.347570164496473,80.51874104273101,"Mihintale, Anuradhapura District, Sri Lanka",4.1,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Grirbandha Chetiya,8.354747621989272,80.4823974288702,"Mihintale, Anuradhapura District, Sri Lanka",4.0,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Iluppukanniya Wewa,8.38239117117842,80.52799348533435,"Mihintale, Anuradhapura District, Sri Lanka",3.8,"['wildlife viewing', 'bird watching', 'photography', 'nature walks', 'butterfly watching', 'camping', 'wild life safaris']","[4.8, 4.5, 4.6, 4.2, 4.0, 3.8, 4.5]"
Indikatuseya,8.333541695648506,80.53779733268581,"Mihintale, Anuradhapura District, Sri Lanka",4.2,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
Isenbessagala,8.34729680239462,80.47559969393097,"Mihintale, Anuradhapura District, Sri Lanka",4.5,"['arts and culture', 'historic sites', 'cultural experiences', 'historical monuments', 'museum visits', 'historic walks', 'architecture photography']","[5.0, 4.8, 4.5, 4.6, 4.0, 4.5, 4.2]"
