name,lat,lng,formatted_address,rating,extracted_activities,activity_scores
Anubuddhu Mihindu Mahaseya,8.365521123,80.50678569,"Mihintale, Anuradhapura District, Sri Lanka",4.9,['cultural'],[4.3]
Aradhana Gala,8.341403943,80.48228008,"Mihintale, Anuradhapura District, Sri Lanka",4.3,"['cultural', 'adventure']","[3.1, 3.7]"
Ath Vehera,8.351918209,80.51439726,"Mihintale, Anuradhapura District, Sri Lanka",4,"['adventure', 'cultural']","[3.6, 3.8]"
Dana Sala,8.348563879,80.49733095,"Mihintale, Anuradhapura District, Sri Lanka",4.7,['cultural'],[3.4]
Doramadalawa Temple,8.34262507,80.51706574,"Mihintale, Anuradhapura District, Sri Lanka",5,"['cultural', 'spiritual']","[4.5, 4.2]"
Gal Palama,8.358895092,80.48762942,"Mihintale, Anuradhapura District, Sri Lanka",3.9,"['cultural', 'adventure']","[4.4, 4.1]"
Grirbandha Chetiya,8.367189358,80.49249111,"Mihintale, Anuradhapura District, Sri Lanka",3.9,"['cultural', 'spiritual']","[4.8, 4.1]"
Iluppukanniya Wewa,8.366635691,80.48282965,"Mihintale, Anuradhapura District, Sri Lanka",4.2,"['wildlife', 'adventure']","[3.2, 3.8]"
Indikatuseya,8.344910629,80.48077703,"Mihintale, Anuradhapura District, Sri Lanka",3.8,['cultural'],[3.1]
Isenbessagala,8.360518949,80.50795101,"Mihintale, Anuradhapura District, Sri Lanka",4.9,"['cultural', 'wildlife]","[3.4, 3.1]"
Kaludiya Pokuna,8.368278437,80.48059627,"Mihintale, Anuradhapura District, Sri Lanka",4.9,['spiritual'],[4.0]
Kantaka Chetiya,8.364031555,80.50642086,"Mihintale, Anuradhapura District, Sri Lanka",4.4,['cultural'],[3.1]
Katu Seya,8.363914023,80.48333605,"Mihintale, Anuradhapura District, Sri Lanka",4.2,['cultural'],[3.4]
Mahakanadara Wewa,8.355122638,80.49668738,"Mihintale, Anuradhapura District, Sri Lanka",4.9,"['wildlife', 'adventure']","[4.3, 4.1]"
Mihindu Guhawa,8.332807057,80.50964657,"Mihintale, Anuradhapura District, Sri Lanka",4.7,['spiritual'],[3.4]
Mihindu Seya,8.341385413,80.50317821,"Mihintale, Anuradhapura District, Sri Lanka",4.5,['cultural'],[4.2]
Mihintale Tablets,8.353484078,80.51616792,"Mihintale, Anuradhapura District, Sri Lanka",4.5,['cultural'],[4.6]
Mihintale weva,8.356476537,80.49623998,"Mihintale, Anuradhapura District, Sri Lanka",4.1,"['wildlife', 'adventure']","[3.0, 4.6]"
Mihinthalaya Rajamaha Viharaya,8.367335999,80.51641453,"Mihintale, Anuradhapura District, Sri Lanka",4.6,['cultural'],[4.4]
Naga Pokuna,8.337098669,80.51289134,"Mihintale, Anuradhapura District, Sri Lanka",4.4,"['spiritual', 'cultural', 'wildlife']","[3.7, 3.6, 3.4]"
Rajagirilena Rock,8.350070451,80.50430857,"Mihintale, Anuradhapura District, Sri Lanka",4.7,['adventure'],[3.3]
Rajagirilena,8.343545308,80.51128286,"Mihintale, Anuradhapura District, Sri Lanka",3.8,['cultural'],[4.9]
Sinha Pokuna,8.365568426,80.50844867,"Mihintale, Anuradhapura District, Sri Lanka",4.3,"['cultural', 'wildlife']","[3.7, 3.4]"
Thapowanaya,8.341685667,80.48016022,"Mihintale, Anuradhapura District, Sri Lanka",4.8,"['spiritual', 'cultural', 'wildlife']","[3.2, 3.6, 3.1]"
Timbiri Pokuna,8.344715158,80.48159918,"Mihintale, Anuradhapura District, Sri Lanka",4.2,"['wildlife', 'adventure']","[3.2, 4.7]"
Vejja Sala,8.34474894,80.49442453,"Mihintale, Anuradhapura District, Sri Lanka",4.8,['cultural'],[4.2]
Wasammale,8.344780515,80.50268,"Mihintale, Anuradhapura District, Sri Lanka",4,"['cultural', 'adventure']","[4.6, 4.4]"
